Date,Date,Close,gain
2010-01-05,2010-01-05,1616.8,-0.005443976255651628
2010-01-06,2010-01-06,1638.5,0.013421573478475946
2010-01-07,2010-01-07,1648.7,0.0062252059810803395
2010-01-08,2010-01-08,1639.8,-0.005398192515315148
2010-01-11,2010-01-11,1629.45,-0.006311745334796837
2010-01-12,2010-01-12,1583.85,-0.027984902881340368
2010-01-13,2010-01-13,1571.3,-0.007923730151213837
2010-01-14,2010-01-14,1573.55,0.00143193534016417
2010-01-15,2010-01-15,1570.4,-0.00200184296654049
2010-01-18,2010-01-18,1562.5,-0.005030565461029091
2010-01-19,2010-01-19,1559.95,-0.0016319999999999668
2010-01-20,2010-01-20,1563.45,0.0022436616558223488
2010-01-21,2010-01-21,1539.55,-0.015286705682944879
2010-01-22,2010-01-22,1514.3,-0.016400896365821205
2010-01-25,2010-01-25,1532.05,0.01172158753219299
2010-01-27,2010-01-27,1523.4,-0.005646029829313615
2010-01-28,2010-01-28,1526.0,0.0017067086779571916
2010-01-29,2010-01-29,1520.45,-0.003636959370904247
2010-02-01,2010-02-01,1540.75,0.013351310467295763
2010-02-02,2010-02-02,1540.15,-0.0003894207366541558
2010-02-03,2010-02-03,1564.8,0.01600493458429364
2010-02-04,2010-02-04,1561.3,-0.002236707566462215
2010-02-05,2010-02-05,1559.95,-0.0008646640619995871
2010-02-06,2010-02-06,1561.9,0.0012500400653867594
2010-02-08,2010-02-08,1529.1,-0.02100006402458554
2010-02-09,2010-02-09,1530.4,0.0008501733045582771
2010-02-10,2010-02-10,1561.05,0.020027443805541
2010-02-11,2010-02-11,1578.85,0.011402581595720829
2010-02-15,2010-02-15,1578.95,6.333723912987921e-05
2010-02-16,2010-02-16,1569.3,-0.006111656480572547
2010-02-17,2010-02-17,1584.45,0.009653985853565361
2010-02-18,2010-02-18,1580.35,-0.0025876487109092183
2010-02-19,2010-02-19,1651.55,0.04505331097541676
2010-02-22,2010-02-22,1680.25,0.017377614967757582
2010-02-23,2010-02-23,1711.35,0.018509150424043996
2010-02-24,2010-02-24,1710.2,-0.00067198410611502
2010-02-25,2010-02-25,1722.8,0.0073675593497835035
2010-02-26,2010-02-26,1709.9,-0.007487810540979689
2010-03-02,2010-03-02,1707.1,-0.0016375226621441197
2010-03-03,2010-03-03,1710.0,0.0016987874172573747
2010-03-04,2010-03-04,1739.55,0.017280701754385897
2010-03-05,2010-03-05,1741.8,0.0012934379580926691
2010-03-08,2010-03-08,1772.55,0.01765415087840161
2010-03-09,2010-03-09,1750.95,-0.012185833968012094
2010-03-10,2010-03-10,1767.65,0.009537679545389643
2010-03-11,2010-03-11,1744.95,-0.012841908748903896
2010-03-12,2010-03-12,1729.4,-0.008911430126937736
2010-03-15,2010-03-15,1697.55,-0.018416791950965683
2010-03-16,2010-03-16,1696.75,-0.0004712674148036333
2010-03-17,2010-03-17,1692.3,-0.00262266096950059
2010-03-18,2010-03-18,1702.05,0.005761389824499252
2010-03-19,2010-03-19,1725.2,0.013601245556828623
2010-03-22,2010-03-22,1742.15,0.0098249478321355
