price,feature1,feature2
461.5279294,999.7875575,999.7660962
548.1300115,998.8616149,1001.042403
410.2971617,1000.070267,998.8440146
540.3822198,999.9522513,1000.44094
546.0245529,1000.446011,1000.338531
542.9836716,999.6931837,1000.628006
555.4856642,1000.275855,1000.444949
417.5697245,1000.414205,998.8784862
373.1465312,1000.016606,998.4759967
633.3502925,999.9056456,1001.594481
624.2470921,1002.099975,1000.488915
475.3724172,1000.230819,999.5639426
600.3684449,999.7043114,1001.386157
532.8329518,1000.771576,999.9391069
472.8353628,999.3229434,1000.05536
506.312291,1000.379403,999.8292802
508.414406,998.5131313,1000.717756
610.4553519,1001.401115,1000.486593
323.657762,999.6872832,998.1774564
446.2123039,1001.254834,998.7724225
362.122703,998.8064521,998.9567829
433.4106403,1000.003049,999.1431146
562.0025765,1002.107494,999.7774926
637.3096207,1001.158976,1001.077991
522.8080075,999.4912284,1000.545177
469.8028243,1000.43188,999.4286019
543.1099278,1000.131869,1000.409422
565.4341699,999.3470969,1001.019195
530.0328538,1000.22443,1000.276174
610.580165,1000.807135,1000.842706
482.5564119,999.6517092,1000.060011
327.5600405,1000.113307,997.9761287
579.7308387,999.9240058,1000.925726
448.4298147,999.6669627,999.7039947
628.9770919,1000.728214,1001.110462
536.7973722,1001.455217,999.7651198
570.0672954,1000.482472,1000.516819
357.8255752,998.5105327,999.0307696
612.0849273,1001.813058,1000.394032
444.6797085,998.7935419,999.9086071
600.1186364,999.5403586,1001.234607
523.5331278,999.2467276,1000.676065
512.9499449,998.6753741,1000.762461
614.8813169,1001.534269,1000.553784
404.3530325,999.425448,999.1979888
643.6885181,998.9991531,1002.056155
488.956604,1000.076137,999.7775335
443.2046857,1000.98193,998.960122
514.4790664,1000.063325,1000.162987
514.8817406,1001.301579,999.5432241
325.0585222,999.8625558,998.0624364
554.6620585,1001.838608,999.8305876
451.3914,999.0579635,999.888003
587.6788773,1000.75327,1000.557582
477.7374972,1000.344338,999.5603603
574.5156069,1002.024019,999.9199893
548.9107991,999.4084949,1000.866717
528.6908836,1000.149509,1000.324266
443.2110048,1000.902259,998.9526004
397.8820932,997.8444537,999.7955265
355.7953522,1000.274992,998.1414106
460.6947814,999.0544773,1000.051635
534.7673737,999.8703103,1000.497379
537.6067329,1000.594239,1000.145402
603.6699035,1000.700573,1000.874964
547.2757915,999.6680108,1000.729311
567.3086215,1000.758247,1000.420436
454.3290132,999.2551541,999.8739712
492.6045145,999.938544,999.9416332
643.1359318,999.9414995,1001.663869
477.4305163,999.8485753,999.8976686
497.4125184,1001.056767,999.447941
559.0437853,1001.029237,1000.265041
576.6784384,999.7383889,1000.987862
292.1917811,998.2459397,998.4973935
542.9954,1000.283313,1000.378668
547.7319824,1001.969023,999.6666088
507.4343914,1001.011889,999.6121552
408.1220007,1000.613336,998.7117783
595.4334856,999.8728178,1001.076568
