userId,movie,rating
3,Toy Story (1995),4
6,Toy Story (1995),5
8,Toy Story (1995),4
10,Toy Story (1995),4
11,Toy Story (1995),4.5
12,Toy Story (1995),4
13,Toy Story (1995),4
14,Toy Story (1995),4.5
16,Toy Story (1995),3
19,Toy Story (1995),5
22,Toy Story (1995),3
23,Toy Story (1995),4
24,Toy Story (1995),4
31,Toy Story (1995),3
34,Toy Story (1995),5
39,Toy Story (1995),5
47,Toy Story (1995),1
53,Toy Story (1995),4
54,Toy Story (1995),4
58,Toy Story (1995),5
59,Toy Story (1995),4.5
66,Toy Story (1995),4
69,Toy Story (1995),4
80,Toy Story (1995),3
82,Toy Story (1995),5
84,Toy Story (1995),5
90,Toy Story (1995),3.5
91,Toy Story (1995),4
93,Toy Story (1995),5
96,Toy Story (1995),3.5
97,Toy Story (1995),4
99,Toy Story (1995),4
105,Toy Story (1995),4
107,Toy Story (1995),4
109,Toy Story (1995),3.5
114,Toy Story (1995),3
115,Toy Story (1995),1.5
116,Toy Story (1995),3
117,Toy Story (1995),3
124,Toy Story (1995),5
126,Toy Story (1995),4
129,Toy Story (1995),4
130,Toy Story (1995),3
131,Toy Story (1995),2
133,Toy Story (1995),4
134,Toy Story (1995),4
135,Toy Story (1995),4
136,Toy Story (1995),5
137,Toy Story (1995),4
140,Toy Story (1995),4
143,Toy Story (1995),4
144,Toy Story (1995),3
146,Toy Story (1995),3
147,Toy Story (1995),4.5
149,Toy Story (1995),5
155,Toy Story (1995),2.5
156,Toy Story (1995),5
159,Toy Story (1995),5
160,Toy Story (1995),5
162,Toy Story (1995),3
168,Toy Story (1995),4.5
170,Toy Story (1995),4
172,Toy Story (1995),5
175,Toy Story (1995),3.5
186,Toy Story (1995),4
188,Toy Story (1995),3
189,Toy Story (1995),5
199,Toy Story (1995),4
202,Toy Story (1995),5
204,Toy Story (1995),5
205,Toy Story (1995),4
208,Toy Story (1995),4
209,Toy Story (1995),4
215,Toy Story (1995),2
216,Toy Story (1995),4
220,Toy Story (1995),4
221,Toy Story (1995),4
232,Toy Story (1995),3
233,Toy Story (1995),5
235,Toy Story (1995),2
237,Toy Story (1995),4.5
238,Toy Story (1995),4
239,Toy Story (1995),5
251,Toy Story (1995),4
258,Toy Story (1995),4
259,Toy Story (1995),5
260,Toy Story (1995),3
264,Toy Story (1995),3.5
267,Toy Story (1995),4
269,Toy Story (1995),1
271,Toy Story (1995),1.5
274,Toy Story (1995),3
275,Toy Story (1995),4
279,Toy Story (1995),4
280,Toy Story (1995),4
285,Toy Story (1995),2.5
286,Toy Story (1995),4
